file_name,label_id,label_name,source_index
img_000000_label02_idx041088.png,2,romanticism,41088
img_000001_label02_idx047912.png,2,romanticism,47912
img_000002_label05_idx041033.png,5,post_impressionism,41033
img_000003_label05_idx009267.png,5,post_impressionism,9267
img_000004_label01_idx002702.png,1,realism,2702
img_000005_label02_idx026895.png,2,romanticism,26895
img_000006_label07_idx023580.png,7,surrealism,23580
img_000007_label01_idx004043.png,1,realism,4043
img_000008_label05_idx040579.png,5,post_impressionism,40579
img_000009_label09_idx040132.png,9,renaissance,40132
img_000010_label05_idx017594.png,5,post_impressionism,17594
img_000011_label03_idx002371.png,3,expressionism,2371
img_000012_label07_idx004590.png,7,surrealism,4590
img_000013_label03_idx002959.png,3,expressionism,2959
img_000014_label08_idx047611.png,8,ukiyo_e,47611
img_000015_label07_idx023911.png,7,surrealism,23911
img_000016_label02_idx025167.png,2,romanticism,25167
img_000017_label04_idx040173.png,4,baroque,40173
img_000018_label01_idx047434.png,1,realism,47434
img_000019_label06_idx023709.png,6,art_nouveau,23709
img_000020_label05_idx029086.png,5,post_impressionism,29086
img_000021_label05_idx026202.png,5,post_impressionism,26202
img_000022_label09_idx036293.png,9,renaissance,36293
img_000023_label07_idx048928.png,7,surrealism,48928
img_000024_label03_idx040488.png,3,expressionism,40488
img_000025_label02_idx025286.png,2,romanticism,25286
img_000026_label08_idx043993.png,8,ukiyo_e,43993
img_000027_label09_idx030670.png,9,renaissance,30670
img_000028_label09_idx019999.png,9,renaissance,19999
img_000029_label02_idx005971.png,2,romanticism,5971
img_000030_label00_idx017516.png,0,impressionism,17516
img_000031_label01_idx001027.png,1,realism,1027
img_000032_label02_idx016119.png,2,romanticism,16119
img_000033_label06_idx009024.png,6,art_nouveau,9024
img_000034_label06_idx037889.png,6,art_nouveau,37889
img_000035_label05_idx048217.png,5,post_impressionism,48217
img_000036_label05_idx018340.png,5,post_impressionism,18340
img_000037_label04_idx033650.png,4,baroque,33650
img_000038_label07_idx042868.png,7,surrealism,42868
img_000039_label06_idx003078.png,6,art_nouveau,3078
img_000040_label05_idx001041.png,5,post_impressionism,1041
